[2025-01-29 04:22:53,343: INFO: main: Graciously welcome to the Holy cnnClassifier]
[2025-01-29 04:23:32,208: INFO: main: Graciously welcome to the Holy cnnClassifier]
[2025-01-30 05:50:32,036: INFO: commons: yaml file: config\config.yaml loaded Graciously successfully]
[2025-01-30 05:50:32,050: INFO: commons: yaml file: params.yaml loaded Graciously successfully]
[2025-01-30 05:50:32,061: INFO: commons: created directory at: artifacts]
[2025-01-30 05:50:32,061: INFO: commons: created directory at: artifacts/data_ingestion]
[2025-01-30 05:50:32,065: INFO: 3990167069: Graciously downloading data from https://drive.google.com/file/d/1bGoP_uoXrwqR2EfiorLvDiD-vS0HdE1j/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-30 05:50:57,787: INFO: 3990167069: Graciously downloaded data from https://drive.google.com/file/d/1bGoP_uoXrwqR2EfiorLvDiD-vS0HdE1j/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-30 09:35:06,164: INFO: main: >>>>>>> stage: Date Ingestion Stage started <<<<<<<]
[2025-01-30 09:35:06,181: INFO: commons: yaml file: config\config.yaml loaded Graciously successfully]
[2025-01-30 09:35:06,199: INFO: commons: yaml file: params.yaml loaded Graciously successfully]
[2025-01-30 09:35:06,199: INFO: commons: created directory at: artifacts]
[2025-01-30 09:35:06,199: INFO: commons: created directory at: artifacts/data_ingestion]
[2025-01-30 09:35:06,199: INFO: data_ingestion: Graciously downloading data from https://drive.google.com/file/d/1bGoP_uoXrwqR2EfiorLvDiD-vS0HdE1j/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-30 09:36:47,965: INFO: data_ingestion: Graciously downloaded data from https://drive.google.com/file/d/1bGoP_uoXrwqR2EfiorLvDiD-vS0HdE1j/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-30 09:36:48,797: INFO: main: >>>>>>> stage: Date Ingestion Stage completed <<<<<<<

x=============x]
